id,split,colour_rule_iou,model_iou
208659,test,0.922077922077922,0.935064935064935
21084,test,0.5769230769230769,0.8165680473372781
212920,test,0.44954128440366975,0.3828125
218906,test,0.9550561797752809,0.9662921348314607
225987,test,0.6304347826086957,0.46774193548387094
232516,test,0.0,0.125
246348,test,0.8791946308724832,0.8993288590604027
249400,test,0.6105263157894737,0.5317460317460317
249757,test,0.9033816425120773,0.9134615384615384
254028,test,0.6241610738255033,0.88
267684,test,0.3146067415730337,0.8555555555555555
270821,test,0.5428571428571428,0.4342857142857143
270906,test,0.9509803921568627,0.9230769230769231
273715,test,0.6081081081081081,0.9194630872483222
275409,test,0.5759493670886076,0.7607361963190185
275530,test,0.978021978021978,0.9832402234636871
2822,test,0.9841897233201581,0.9921568627450981
290221,test,0.48322147651006714,0.785234899328859
296851,test,0.8791208791208791,0.82
297738,test,0.7165354330708661,0.7541666666666667
302318,test,0.4725274725274725,0.7083333333333334
311641,test,0.7380952380952381,0.8977272727272727
316443,test,0.0,0.0
317507,test,0.5826086956521739,0.8319327731092437
329133,test,0.7740384615384616,0.8502415458937198
3321,test,0.6022099447513812,0.7142857142857143
333283,test,0.3977272727272727,0.8791208791208791
340252,test,0.8877005347593583,0.8882978723404256
341513,test,0.014492753623188406,0.7318840579710145
343057,test,0.5407407407407407,0.45555555555555555
343162,test,0.7446808510638298,0.950354609929078
34431,test,0.5241379310344828,0.4642857142857143
346581,test,0.0,0.0
348602,test,0.88268156424581,0.8770949720670391
349896,test,0.27835051546391754,0.8775510204081632
353964,test,0.5733333333333334,0.7513227513227513
357429,test,0.42073170731707316,0.7315436241610739
360238,test,0.8861788617886179,0.6390532544378699
364757,test,0.47058823529411764,0.06358381502890173
366907,test,0.4024390243902439,0.366120218579235
368117,test,0.6915887850467289,0.963302752293578
375504,test,0.3333333333333333,0.8536585365853658
379936,test,0.7047619047619048,0.578125
38030,test,0.48863636363636365,0.42276422764227645
380522,test,0.6818181818181818,0.582010582010582
387504,test,0.5263157894736842,0.47586206896551725
38791,test,0.815028901734104,0.9190751445086706
388267,test,0.7837837837837838,0.9292035398230089
389964,test,0.8194444444444444,0.9166666666666666
391321,test,0.7697841726618705,0.7692307692307693
398350,test,0.6742424242424242,0.5722222222222222
400168,test,0.5955056179775281,0.6415094339622641
400257,test,0.5909090909090909,0.8241758241758241
401068,test,0.075,0.42168674698795183
406784,test,0.8152173913043478,0.8736842105263158
40870,test,0.7848101265822784,0.9125
410401,test,0.5205479452054794,0.75
413242,test,0.7933333333333333,0.948051948051948
414592,test,0.6571428571428571,0.831858407079646
414885,test,0.5462962962962963,0.8715596330275229
415533,test,0.8402366863905325,0.8711656441717791
416869,test,0.8864864864864865,0.8142076502732241
418152,test,0.6265060240963856,0.8095238095238095
42760,test,0.8925619834710744,0.8916666666666667
430885,test,0.6455696202531646,0.4567901234567901
441686,test,0.5063291139240507,0.9620253164556962
441921,test,0.8171428571428572,0.7303921568627451
448787,test,0.6511627906976745,0.5955882352941176
45433,test,0.7457627118644068,0.8976377952755905
457029,test,0.9090909090909091,0.9541984732824428
457780,test,0.8289473684210527,0.9545454545454546
458093,test,0.8823529411764706,0.84375
459347,test,0.8516129032258064,0.8206521739130435
463925,test,0.6423357664233577,0.7419354838709677
465266,test,0.79296875,0.76953125
476685,test,0.7777777777777778,0.782608695652174
476841,test,0.8826291079812206,0.8530805687203792
482799,test,0.8504672897196262,0.8728813559322034
484881,test,0.8562091503267973,0.9225806451612903
487269,test,0.9130434782608695,0.8969072164948454
488018,test,0.8846153846153846,0.9613259668508287
490153,test,0.9032258064516129,0.891566265060241
495789,test,0.43529411764705883,0.8936170212765957
504378,test,0.2653061224489796,0.5963855421686747
509949,test,0.10152284263959391,0.9141414141414141
513181,test,0.6075949367088608,0.7976190476190477
523154,test,0.16541353383458646,0.2517482517482518
523371,test,0.9,0.9
52498,test,0.2619047619047619,0.7411764705882353
532580,test,0.4897959183673469,0.5754716981132075
550845,test,0.5590551181102362,0.37790697674418605
551676,test,0.5433526011560693,0.5251396648044693
553067,test,0.5764705882352941,0.72
557190,test,0.7562189054726368,0.8756218905472637
56005,test,0.2916666666666667,0.28859060402684567
565993,test,0.7586206896551724,0.8105263157894737
572767,test,0.646551724137931,0.8409090909090909
575584,test,0.6952380952380952,0.7818181818181819
576010,test,0.5309734513274337,0.7478991596638656
576012,test,0.9230769230769231,0.7804878048780488
577949,test,0.46543778801843316,0.45089285714285715
578591,test,0.11235955056179775,0.9834254143646409
581884,test,0.0,0.8241758241758241
63894,test,0.3202614379084967,0.6844919786096256
65755,test,0.5253164556962026,0.6329113924050633
66239,test,0.6981132075471698,0.8130841121495327
72776,test,0.6666666666666666,0.8857142857142857
76792,test,0.45121951219512196,0.8064516129032258
84498,test,0.7668393782383419,0.8021978021978022
89849,test,0.620253164556962,0.7037037037037037
9478,test,0.8111111111111111,0.8085106382978723
